,Unnamed: 0,GEOID,NAME,hhincomeE,hhincomeM,medageE,medageM,poppovertyE,poppovertyM,totalpopE,totalpopM,popwhiteE,popwhiteM,popblackE,popblackM,popaknaE,popaknaM,popasianE,popasianM,pophipiE,pophipiM,popotherE,popotherM,pop2ormoreE,pop2ormoreM,pctwhite,pctblack,pctakna,pctasian,pcthipi,pctother,pct2ormore,pctpoverty
46,47,6093,"Siskiyou County, California",38524,2078,47.9,0.4,2317,294,43668,,37355,253,709,84,1468,178,695,83,140,46,640,203,2661,249,0.8554318952093066,0.01623614546120729,0.03361729412842356,0.01591554456352478,0.0032060089768251353,0.014656041036914903,0.060937070623797746,0.05305944856645599
47,48,6095,"Solano County, California",69227,1596,37.5,0.2,16186,1211,429596,,227173,2553,60716,1087,2118,371,65444,992,3579,341,38856,2562,31710,1798,0.5288061341353272,0.1413327870836786,0.004930213502919022,0.15233847614968482,0.008331083157198856,0.09044776953230477,0.07381353643888677,0.03767725956480042
48,49,6097,"Sonoma County, California",66833,1161,41.2,0.2,12506,1135,497776,,378638,2875,7848,604,5353,1050,19421,600,1602,281,60010,3129,24904,1371,0.7606594130693324,0.015766127736170487,0.010753833049403748,0.0390155411269326,0.0032183150654109477,0.12055623412940761,0.05003053582334223,0.025123750441965863
49,50,6099,"Stanislaus County, California",51591,797,33.8,0.1,33014,1567,530561,,396063,3547,14505,687,3467,569,28764,933,3746,426,61006,3433,23010,1811,0.746498517606835,0.027338986469039376,0.006534592629311238,0.054214312774591426,0.00706045110741272,0.11498395095003214,0.043369188462778076,0.0622247017779294
50,51,6101,"Sutter County, California",52943,1645,35.6,0.2,5515,632,95406,,67721,908,1861,249,859,208,14358,456,377,92,4389,745,5841,749,0.7098190889461878,0.01950611072678867,0.009003626606293105,0.15049367964278976,0.003951533446533761,0.04600339601282938,0.061222564618577446,0.05780558874703897
51,52,6103,"Tehama County, California",40687,2118,40.6,0.5,4347,808,63015,,54530,785,394,121,1736,481,883,91,3,11,2958,682,2511,450,0.8653495199555661,0.00625247956835674,0.027548996270729192,0.01401253669761168,4.7607712449416804e-05,0.04694120447512497,0.039847655320161865,0.06898357533920495
52,53,6105,"Trinity County, California",35270,3838,50.6,0.4,503,146,13180,,11373,253,144,94,566,153,205,85,138,168,393,311,361,147,0.8628983308042488,0.010925644916540212,0.042943854324734444,0.015553869499241275,0.010470409711684371,0.029817905918057663,0.027389984825493173,0.0381638846737481
53,54,6107,"Tulare County, California",42789,1042,30.4,0.1,52007,2060,455769,,363181,3422,7261,520,5847,718,16004,1333,703,146,48026,3062,14747,1437,0.7968532304742095,0.015931316083366794,0.012828867255122662,0.03511427938275749,0.0015424480383703148,0.10537355546340361,0.032356303302769604,0.11410824343033422
54,55,6109,"Tuolumne County, California",50731,1795,48.2,0.5,1171,282,53864,,47618,322,1023,133,882,190,706,94,106,58,1289,310,2240,362,0.8840412891727313,0.018992276845388387,0.016374572998663302,0.013107084509134115,0.0019679192039209863,0.02393064013069954,0.041586217139462346,0.02173993762067429
55,56,6111,"Ventura County, California",78593,962,37.3,0.2,28577,1811,843110,,669728,3467,14847,602,6294,1057,59749,1013,1530,339,54528,2995,36434,1959,0.7943542361020507,0.017609801805221145,0.007465218061700134,0.07086738385264081,0.0018147098243408333,0.06467483483768428,0.04321381551636204,0.033894746830188234
56,57,6113,"Yolo County, California",57663,1664,30.9,0.1,7234,1050,209671,,140668,1903,5161,566,1494,418,29092,513,856,185,20509,1812,11891,1031,0.6708986936676984,0.024614753590148374,0.007125448917589938,0.13875070944479684,0.004082586528418332,0.09781514849454621,0.056712659356801844,0.03450167166656333
57,58,6115,"Yuba County, California",48739,2031,32.2,0.2,5428,805,73897,,53217,826,2260,251,1059,251,5125,253,322,63,6035,767,5879,640,0.7201510210157381,0.03058310892187775,0.014330757676225016,0.069353289037444,0.004357416403913556,0.08166772670067797,0.07955668024412357,0.0734535908088285
